,Name,Position,Age,Height,FG%,3P%,AST,TOV,PTS,Tm,Rebounds,STL,BLK,Overall,PERSON_ID
420,Tristan Thompson,C,30,"6' 9""",0.542,0.0,0.5,1.0,7.3,IND,4.6,0.0,0.5,33.27545040156284,202684.0
421,Tristan Thompson,C,30,"6' 9""",0.565,0.0,0.6,0.5,5.7,CHI,4.8,0.5,0.3,33.69871934013457,202684.0
422,Robert Woodard II,SF,21,"6' 6""",0.125,0.25,0.3,0.1,0.6,SAC,0.9,0.1,0.1,15.140004341219882,
423,Moses Brown,C,21,"7' 2""",0.593,0.0,0.0,0.5,4.3,TOT,3.4,0.2,0.4,29.61797265031474,
424,Moses Brown,C,21,"7' 2""",0.54,0.0,0.0,0.5,3.1,DAL,2.3,0.1,0.3,24.744953331886265,
425,Moses Brown,C,21,"7' 2""",0.638,0.0,0.0,0.4,6.4,CLE,5.2,0.3,0.5,35.96700672889082,
426,Sterling Brown,SF,26,"6' 5""",0.381,0.304,0.7,0.5,3.3,DAL,3.0,0.3,0.1,31.962231387019752,1628425.0
427,Jalen Brunson,PG,25,"6' 1""",0.502,0.373,4.8,1.6,16.3,DAL,3.9,0.8,0.0,63.43607553722595,1628973.0
428,Reggie Bullock,SF,30,"6' 6""",0.401,0.36,1.2,0.6,8.6,DAL,3.6,0.6,0.2,43.22769698285218,203493.0
429,Trey Burke,PG,28,"6' 0""",0.391,0.317,1.4,0.6,5.1,DAL,0.7999999999999999,0.3,0.0,33.47080529628826,203504.0
430,Willie Cauley-Stein,C,28,"7' 0""",0.457,0.5,0.5,0.4,1.7,TOT,2.0999999999999996,0.3,0.2,37.99652702409377,1626161.0
431,Willie Cauley-Stein,C,28,"7' 0""",0.457,0.5,0.5,0.4,1.9,DAL,2.0999999999999996,0.3,0.2,38.213588018233125,1626161.0
432,Willie Cauley-Stein,C,28,"7' 0""",0.0,0.0,0.5,0.0,0.0,PHI,1.0,0.0,0.0,2.170609941393532,1626161.0
433,Luka Doncic,PG,22,"6' 7""",0.457,0.353,8.7,4.5,28.4,DAL,9.200000000000001,1.2,0.6,91.92533101801605,1629029.0
434,Dorian Finney-Smith,PF,28,"6' 7""",0.471,0.395,1.9,1.0,11.0,DAL,4.7,1.1,0.5,54.569133926633384,1627827.0
435,Josh Green,SG,20,"6' 5""",0.508,0.359,1.2,0.7,4.8,DAL,2.4000000000000004,0.7,0.2,41.5780334273931,
436,Tim Hardaway Jr.,SF,29,"6' 5""",0.394,0.336,2.2,0.8,14.2,DAL,3.6999999999999997,0.9,0.1,51.22639461688735,203501.0
437,Maxi Kleber,PF,29,"6' 10""",0.398,0.325,1.2,0.8,7.0,DAL,5.9,0.5,1.0,45.02930323420882,1628467.0
438,Boban Marjanovic,C,33,"7' 4""",0.6,0.25,0.1,0.7,4.3,DAL,1.6,0.0,0.1,34.62122856522682,1626246.0
439,JaQuori McLaughlin,G,23,"6' 4""",0.0,0.0,0.5,0.0,0.0,DAL,0.0,0.0,0.0,1.085304970696766,
440,Eugene Omoruyi,F,24,"6' 6""",0.4,0.5,0.5,0.0,1.8,DAL,1.8,0.0,0.0,34.2956370740178,
441,Kristaps Porzingis,C,26,"7' 3""",0.459,0.31,2.3,1.6,20.2,TOT,8.1,0.7,1.6,68.23312350770566,204001.0
442,Kristaps Porzingis,C,26,"7' 3""",0.451,0.283,2.0,1.6,19.2,DAL,7.699999999999999,0.7,1.7,65.24853483828956,204001.0
443,Kristaps Porzingis,C,26,"7' 3""",0.475,0.367,2.9,1.6,22.1,WAS,8.8,0.7,1.5,74.40850879097026,204001.0
444,Dwight Powell,C,30,"6' 10""",0.671,0.351,1.2,0.8,8.7,DAL,4.9,0.5,0.5,53.89624484480139,203939.0
445,Tyrell Terry,PG,20,"6' 2""",1.0,0.0,0.0,0.0,1.0,MEM,0.0,0.0,0.0,33.64445409159974,
446,D.J. Augustin,PG,33,"5' 11""",0.404,0.406,2.2,1.3,5.4,HOU,1.2,0.3,0.0,39.28803993922293,201571.0
447,Avery Bradley,PG,30,"6' 3""",0.423,0.39,0.8,0.6,6.4,LAL,2.2,0.9,0.1,40.79661384849143,202340.0
448,Armoni Brooks,SG,23,"6' 3""",0.339,0.297,1.1,0.5,5.3,TOT,1.9,0.5,0.2,33.188626003907096,
449,Armoni Brooks,SG,23,"6' 3""",0.347,0.3,1.2,0.6,6.2,HOU,2.0,0.5,0.2,34.84914260907315,
450,Armoni Brooks,SG,23,"6' 3""",0.289,0.278,1.0,0.3,2.6,TOR,1.7000000000000002,0.5,0.2,27.57759930540482,
451,Josh Christopher,SG,19,"6' 5""",0.448,0.296,2.0,1.5,7.9,HOU,2.5,0.9,0.2,43.43390492728456,
452,Usman Garuba,PF,19,"6' 8""",0.432,0.25,0.7,0.3,2.0,HOU,3.5,0.4,0.5,32.62426741914478,
453,Eric Gordon,SG,32,"6' 3""",0.475,0.412,2.7,1.9,13.4,HOU,2.0,0.5,0.3,54.05904059040591,201569.0
